SKU;Produto;Marca;Tipo_do_Produto;Preco_Unitario;Custo_Unitario;Observacao
HL70;iPhone 12 512GB - Preto;Apple;Celular;949.00;256.20;
HL71;iPhone 12 Mini 128GB - Preto;Apple;Celular;549.00;115.30;
HL72;iPhone 12 Mini 256GB - Preto;Apple;Celular;649.00;181.70;
HL73;iPhone 12 Mini 512GB - Prata;Apple;Celular;849.00;178.30;
HL74;iPhone 11 Pro 128GB - Prata;Apple;Celular;599.00;137.80;
HL75;iPhone 11 Pro 256GB - Prata;Apple;Celular;699.00;181.70;
HL76;iPhone 11 128GB - Preto;Apple;Celular;549.00;120.80;
HL77;iPhone 11 256GB - Preto;Apple;Celular;649.00;142.80;
HL78;iPhone XS 64GB - Preto;Apple;Celular;449.00;103.30;
HL79;iPhone XS 128GB - Preto;Apple;Celular;499.00;129.70;
HL80;iPhone XS Max 128GB - Preto;Apple;Celular;499.00;124.80;
HL81;iPhone XS Max 256GB - Preto;Apple;Celular;549.00;142.70;
HL82;Galaxy S22 Ultra 128GB - Preto;Samsung;Celular;200.00;48.00;
HL83;Inspiron 3000 8GB RAM - Vermelho;Dell;Notebook;448.00;134.40;
HL84;Inspiron 3000 16GB RAM - Vermelho;Dell;Notebook;512.00;107.50;
HL85;Chromebook S330 14' - Vermelho;Lenovo;Notebook;188.61;41.50;
HL86;Chromebook Spin 311 - Vermelho;Acer;Notebook;227.00;65.80;
HL87;Chromebook 14' - Preto;HP;Notebook;214.00;49.20;
HL88;Microsoft Surface Pro 7 12.3' - Preto;Microsoft;Notebook;429.00;90.10;
HL89;HP Pavilion 17.3' - Preto;HP;Notebook;799.00;199.80;
HL90;HP 14 Laptop - Preto;HP;Notebook;239.88;64.80;
HL91;Lenovo IdeaPad 3 Gamer - Amarelo;Lenovo;Notebook;989.99;217.80;
HL92;HP 15 Laptop - Amarelo;HP;Notebook;529.00;111.10;
HL93;Samsung 15.6' Galaxy Book2 Pro - Amarelo;Samsung;Notebook;1349.99;270.00;
HL94;HP Pavilion 15.6' - Amarelo;HP;Notebook;359.00;100.50;
HL95;Asus VivoBook 15 - Amarelo;Asus;Notebook;629.99;189.00;
HL96;Smartwatch Iwo8 44mm - Branco;Samsung;Relogio;50.00;14.50;
HL97;Smartwatch Iwo9 44mm - Branco;Samsung;Relogio;60.00;15.60;
HL98;Apple Watch Series 7 GPS 41mm - Preto;Apple;Relogio;789.00;228.80;
HL99;Galaxy S22 Ultra 256GB - Azul;Samsung;Celular;300.00;66.00;
HL100;Galaxy S22 Ultra 512GB - Azul;Samsung;Celular;400.00;96.00;
HL101;Galaxy S22 128GB - Preto;Samsung;Celular;100.00;28.00;
HL102;Galaxy S22 512GB - Preto;Samsung;Celular;150.00;31.50;
HL103;Galaxy S21 128GB - Preto;Samsung;Celular;200.00;56.00;
HL104;Galaxy S21 256GB - Preto;Samsung;Celular;270.00;81.00;
HL105;Galaxy Z Flip3 128GB - Preto;Samsung;Celular;100.00;27.00;
HL106;Galaxy Z Fold3 256GB - Preto;Samsung;Celular;800.00;176.00;
HL107;Galaxy Z Fold3 512GB - Preto;Samsung;Celular;900.00;198.00;
HL108;Galaxy A12 64GB - Preto;Samsung;Celular;120.00;31.20;
HL109;Galaxy A13 64GB - Preto;Samsung;Celular;150.00;26.97;
HL110;Galaxy A13 128GB - Preto;Samsung;Celular;200.00;92.81;
HL111;Mi 11 Lite Dual 64GB - Preto;Xiaomi;Celular;257.00;74.50;
HL112;Mi 11 Lite Dual 128GB - Preto;Xiaomi;Celular;317.00;133.30;
HL113;Redmi Note 10S 64GB - Preto;Xiaomi;Celular;159.00;42.90;
HL114;Redmi Note 10S 128GB - Preto;Xiaomi;Celular;219.00;56.90;
HL115;Redmi 9A 32GB - Preto;Xiaomi;Celular;249.00;96.80;
HL116;Redmi 9A 64GB - Amarelo;Xiaomi;Celular;329.00;75.70;
HL117;Pocophone X3 NFC 64GB - Preto;Xiaomi;Celular;299.00;38.96;
HL118;Redmi Note 8 Pro 64GB - Preto;Xiaomi;Celular;249.00;104.80;
HL119;Poco M4 Pro 128GB - Preto;Xiaomi;Celular;250.00;145.28;
HL120;Redmi Note 11 128GB - Preto;Xiaomi;Celular;279.00;49.98;
HL121;Redmi Note 11 256GB - Preto;Xiaomi;Celular;350.00;122.27;
HL122;Moto G Power 32GB - Preto;Motorola;Celular;69.00;18.60;
HL123;Moto G Power 64GB - Preto;Motorola;Celular;99.00;25.70;
HL124;Lenovo IdeaPad 15.6' - Preto;Lenovo;Notebook;749.00;224.70;
HL125;Inspiron 3510 15.6' - Preto;Dell;Notebook;498.00;109.60;
HL126;Asus VivoBook Pro 16X - Preto;Asus;Notebook;1599.00;415.70;
HL127;HP 17.3' - Amarelo;HP;Notebook;599.00;131.80;
HL128;Acer Aspire Vero AV15-51 - Amarelo;Acer;Notebook;529.99;143.10;
HL129;Acer Porsche Design - Amarelo;Acer;Notebook;2199.00;483.80;
HL130;Notebook Acer 2 em 1 Spin 3 - Amarelo;Acer;Notebook;1299.00;285.80;
HL131;Dell Vostro 14 3000 - Prata;Dell;Notebook;600.00;132.00;
HL132;Dell Inspiron I15 3501 - Prata;Dell;Notebook;740.00;170.20;
HL133;Notebook G8 HP - Preto;HP;Notebook;750.00;210.00;
HL134;Lenovo 2 em 1 IdeaPad Flex 5i - Cinza;Lenovo;Notebook;999.00;259.70;
HL135;Camisa Hashtag Eletro Masculina, GG - Preto;Hashtag;Camisa;27.50;12.40;
HL136;Teclado sem fio Logitech MX - Cinza;Logitech;Teclado;138.00;37.30;
HL137;Teclado com SmartCard Reader Dell - Branco;Dell;Teclado;36.00;8.30;
HL138;Teclado sem fio Logitech K380 - Cinza;Logitech;Teclado;44.00;11.00;
HL139;Teclado sem fio Dell Pro KM522 - Preto;Dell;Teclado;48.00;11.50;
HL140;Monitor Curvado NBV 24'' 75Hz - Branco;LG;Monitor;129.00;34.80;
HL141;Monitor T350 Series 27'' 75Hz - Branco;Samsung;Monitor;159.99;41.60;
HL142;Monitor 40WP95C 40'' - Preto;LG;Monitor;1796.99;467.20;
HL143;Camisa Hashtag Eletro Feminina, P - Branco;Hashtag;Camisa;25.00;11.00;
HL144;Camisa Hashtag Eletro Feminina, M - Branco;Hashtag;Camisa;25.00;11.00;
HL145;Camisa Hashtag Eletro Feminina, G - Branco;Hashtag;Camisa;25.00;11.00;
HL146;Camisa Hashtag Eletro Feminina, GG - Branco;Hashtag;Camisa;25.00;11.00;
HL147;Camisa Hashtag Eletro Feminina, P - Preto;Hashtag;Camisa;27.00;12.40;
HL148;Camisa Hashtag Eletro Feminina, M - Preto;Hashtag;Camisa;27.00;12.40;
HL149;Camisa Hashtag Eletro Feminina, G - Preto;Hashtag;Camisa;27.00;12.40;
HL150;Camisa Hashtag Eletro Feminina, GG - Preto;Hashtag;Camisa;27.00;12.40;
HL151;Camisa Hashtag Eletro Bebe - Amarela - Amarelo;Hashtag;Camisa;9.90;4.50;
HL152;Casaco Hashtag Eletro Masculino, P - Branco;Hashtag;Casaco;45.90;19.70;
HL153;Casaco Hashtag Eletro Masculino, M - Branco;Hashtag;Casaco;45.90;19.70;
HL154;Casaco Hashtag Eletro Masculino, G - Branco;Hashtag;Casaco;45.90;19.70;
HL155;Casaco Hashtag Eletro Masculino, GG - Branco;Hashtag;Casaco;45.90;19.70;
HL156;Casaco Hashtag Eletro Masculino, P - Preto;Hashtag;Casaco;48.90;20.00;
HL157;Casaco Hashtag Eletro Masculino, M - Preto;Hashtag;Casaco;48.90;20.00;
HL158;Casaco Hashtag Eletro Masculino, G - Preto;Hashtag;Casaco;48.90;20.00;
HL159;Casaco Hashtag Eletro Masculino, GG - Preto;Hashtag;Casaco;48.90;20.00;
HL160;Casaco Hashtag Eletro Feminino, P - Branco;Hashtag;Casaco;45.90;19.70;
HL161;Casaco Hashtag Eletro Feminino, M - Branco;Hashtag;Casaco;45.90;19.70;
HL162;Casaco Hashtag Eletro Feminino, G - Branco;Hashtag;Casaco;45.90;19.70;
HL163;Casaco Hashtag Eletro Feminino, GG - Branco;Hashtag;Casaco;45.90;19.70;
HL164;Mouse sem fio MO251 2.4 Ghz - Preto;Multilaser;Mouse;4.99;1.20;
HL165;Mouse optico USB 1200dpi - Preto;Multilaser;Mouse;3.99;1.30;
HL166;Mouse M90 1000dpi - Preto;Logitech;Mouse;6.99;2.30;
HL167;Teclado sem fio V320 - Preto;LG;Teclado;110.00;29.70;
HL168;Casaco Hashtag Eletro Feminino, P - Preto;Hashtag;Casaco;48.90;20.00;
HL169;Casaco Hashtag Eletro Feminino, M - Preto;Hashtag;Casaco;48.90;20.00;
HL170;Monitor Curvado UG27 27'' 144Hz - Preto;Spectre;Monitor;229.99;59.80;
HL171;Monitor de LED Profissional Fino 24'' 75 Hz - Preto;Spectre;Monitor;132.72;38.50;
HL172;Mouse com fio USB M90 - Preto;Spectre;Mouse;7.99;2.00;
HL173;Teclado LG C400 - Vermelho;LG;Teclado;20.00;4.60;
HL174;Monitor de jogos Nano IPS 34GN850-B 34'' - Prata;LG;Monitor;789.99;221.20;
HL175;Casaco Hashtag Eletro Feminino, G - Preto;Hashtag;Casaco;48.90;20.00;
HL176;Casaco Hashtag Eletro Feminino, GG - Preto;Hashtag;Casaco;48.90;20.00;
HL177;Casaco Hashtag Eletro Bebe - Amarelo;Hashtag;Casaco;12.90;6.10;
HL178;Casaco Hashtag Eletro Bebe - Branco;Hashtag;Casaco;12.90;6.10;
HL179;Acer Aspire 5 A515 - Prata;Acer;Notebook;799.00;159.80;
HL180;Notebook Multilaser Legacy Book - Amarelo;Multilaser;Notebook;199.00;41.80;
HL181;HP 250-G8 - Cinza;HP;Notebook;949.00;237.30;
HL182;Macbook Air 13.3' M1 - Prata;Apple;Notebook;1499.00;419.70;
HL183;Macbook Pro 13' M1 - Prata;Apple;Notebook;2549.00;688.20;
HL184;Macbook Pro 16' - Prata;Apple;Notebook;6400.00;1280.00;
HL185;Macbook Pro 14' M1 - Prata;Apple;Notebook;2499.00;599.80;
HL186;Macbook Pro Touchbar 13' - Prata;Apple;Notebook;1299.00;337.70;
HL187;Macbook Pro M1 Max - Prata;Apple;Notebook;5999.00;1679.70;
HL188;TCL 75'' Classe 4 Series - Prata;TCL;Televisao;1200.00;240.00;
HL189;Vizio Smart TV 720p 32'' - Azul;Vizio;Televisao;159.00;36.60;
HL190;Vizio M55q8 M-Series Quantum 55' - Azul;Vizio;Televisao;440.00;110.00;
HL191;Vizio D-Series D32F4 32'' Class Full HD - Azul;Vizio;Televisao;240.00;69.60;
HL192;Insignia NS 42'' - Azul;Insignia;Televisao;250.00;65.00;
HL193;Insignia 50'' Class F30 Series - Amarelo;Insignia;Televisao;343.00;82.30;
HL194;Insignia 32'' Class LED HD Smart Fire TV - Amarelo;Insignia;Televisao;189.99;45.60;
HL195;LG 80 Series 50'' Alexa Integrada - Amarelo;LG;Televisao;390.00;93.60;
HL196;LG NanoCell 80 Series 50'' 4K - Amarelo;LG;Televisao;550.00;148.50;
HL197;Sony X85J 85'' - Azul;Sony;Televisao;1200.00;240.00;
HL198;Smart TV 75'' LED 4K HDR - Prata;Sony;Televisao;3300.00;726.00;
HL199;Sony KDL TV LED 48'' Smart TV - Prata;Sony;Televisao;600.00;138.00;
HL200;Sony 50'' X80 HDR 4K - Prata;Sony;Televisao;599.00;131.80;
HL201;Apple Watch Nike Series 7 GPS 45mm - Prata;Apple;Relogio;1080.00;280.80;
HL202;Apple Watch Series 6 GPS 40mm - Preto;Apple;Relogio;700.00;182.00;
HL203;Apple Watch Series 6 44mm - Azul;Apple;Relogio;640.00;179.20;
HL204;Apple Watch Series 5 42mm - Branco;Apple;Relogio;500.00;110.00;
HL205;Apple Watch SE GPS 44mm - Vermelho;Apple;Relogio;480.00;120.00;
HL206;Apple Watch SE GPS 40mm - Azul;Apple;Relogio;440.00;118.80;
HL207;Apple Watch Nike SE GPS 40mm - Preto;Apple;Relogio;320.00;92.80;
HL208;Smartwatch Garmin Fenix 6S Sapphire 6S - Branco;Garmin;Relogio;920.00;239.20;
HL209;Smartwatch Garmin Fenix 6 Pro - Preto;Garmin;Relogio;800.00;160.00;
HL210;Galaxy Watch Active - Vermelho;Samsung;Relogio;240.00;55.20;
HL211;Camera Digital EOS T7 - Preto;Canon;Camera;589.00;176.70;
HL212;Camera Digital EOS 4000D - Preto;Canon;Camera;509.00;112.00;
HL213;Camera Digital SX420 - Preto;Canon;Camera;489.00;107.60;
HL214;Camera Digital EOS 800D - Preto;Canon;Camera;899.00;260.70;
HL215;Mouse sem fio M185 - Preto;Logitech;Mouse;15.99;5.10;
HL216;Teclado LG X130 - Branco;LG;Teclado;10.00;2.50;
HL217;Monitor Gamer 24'' FHD 75HZ - Branco;Samsung;Monitor;199.99;52.00;
HL218;Camera DSLR D7500 - Preto;Nikon;Camera;1396.00;349.00;
HL219;Camera SLR Digital D850 FX - Preto;Nikon;Camera;2796.95;643.30;
HL220;Camera SLR D5600 DX - Preto;Nikon;Camera;796.95;239.10;
HL221;Camera Z6 FX - Preto;Nikon;Camera;2196.95;527.30;
HL222;Mouse sem fio WM126 - Preto;Dell;Mouse;19.99;5.80;
HL223;Multilaser Teclado sem fio 2.4Ghz - Cinza;Multilaser;Teclado;21.99;4.40;
HL224;Monitor AOC 21.5'' - Preto;Samsung;Monitor;129.99;45.50;
HL225;Mouse USB MS 111P - Preto;Dell;Mouse;14.99;4.60;
HL226;Teclado Multilaser com fio USB Teclas Silenciosas - Preto;Multilaser;Teclado;8.99;1.80;
HL227;"Monitor LED 24"" wide Gamer 75Hz T350 - Preto";Samsung;Monitor;179.99;46.80;
HL228;Mouse Bluetooth MS 570 - Preto;Dell;Mouse;28.99;8.70;
HL229;Camera Z 6II FX - Preto;Nikon;Camera;2596.95;811.10;
HL230;Camera A7 III - Prata/Preto;Sony;Camera;2198.00;461.60;
HL231;Camera Alpha A7 IIK - Preto;Sony;Camera;1598.00;479.40;
HL232;Camera Compacta Premium RX100 VII - Prata/Preto;Sony;Camera;1298.00;298.50;
HL233;Camera Cyber Shot RX10 IV - Prata/Preto;Sony;Camera;1698.00;441.50;
HL234;Camera Digital RX100VA - Prata/Preto;Sony;Camera;998.00;299.40;
HL235;Camera Alpha 7R IV - Prata/Preto;Sony;Camera;3498.00;874.50;
HL236;Cabo USB Lightning 0,5m - Prata;Apple;Acessorios;19.00;3.80;
HL237;Cabo USB Lightning 1m - Preto;Apple;Acessorios;22.00;4.40;
HL238;Cabo USB Lightning 2m - Prata;Apple;Acessorios;29.00;5.80;
HL239;Carregador de Parede USB - Prata;Apple;Acessorios;19.00;3.80;
HL240;Carregador de Parede USB C - Branco;Apple;Acessorios;29.00;5.80;
HL241;Carregador Micro USB 0,5m - Branco;Samsung;Acessorios;19.99;6.50;
HL242;Carregador Micro USB 1m - Branco;Samsung;Acessorios;24.99;8.20;
HL243;Carregador Micro USB 2m - Preto;Samsung;Acessorios;29.99;8.90;
HL244;Carregador de Parede USB - Preto;Samsung;Acessorios;8.90;2.40;
HL245;Carregador de Parede USB C - Branco;Samsung;Acessorios;14.90;3.20;
HL246;Carregador de Parede USB 3 Portas - Prata;Samsung;Acessorios;12.50;2.80;
HL247;Macrbook Pro 16.2' M1 Max - Azul;Apple;Notebook;5099.00;1070.80;
HL248;Dell Gamer G11-i1000 - Amarelo;Dell;Notebook;5099.00;1478.70;
HL249;Notebook Gamer Acer Aspire Nitro 5 - Amarelo;Acer;Notebook;1249.00;374.70;
HL250;Dell Vostro 14 4000 - Amarelo;Dell;Notebook;549.00;137.30;
HL251;Notebook Samsung Book - Amarelo;Samsung;Notebook;399.00;103.70;
HL252;Lenovo Ideapad S145 Celeron - Azul;Lenovo;Notebook;349.00;101.20;
HL253;Notebook Samsung Essentials E20 - Azul;Samsung;Notebook;549.00;115.30;
HL254;Lenovo Ideapad D330 - Azul;Lenovo;Notebook;299.00;65.80;
HL255;Microsoft Surface Laptop Go - Amarelo;Microsoft;Notebook;999.00;239.80;
HL256;Microsoft Surface Book 2 - Amarelo;Microsoft;Notebook;2199.00;637.70;
HL257;Microsoft Surface Book 2 - Amarelo;Microsoft;Notebook;1999.00;419.80;
HL258;Microsoft Surface 3 - Amarelo;Microsoft;Notebook;3600.00;972.00;
HL259;Notebook 2 em 1 Lenovo - Amarelo;Lenovo;Notebook;999.00;269.70;
HL260;Acer Aspire 3 - Azul;Acer;Notebook;700.00;154.00;
HL261;Compaq Presario - Azul;Compaq;Notebook;380.00;114.00;
HL262;Positivo Motion Q464C - Azul;Positivo;Notebook;349.00;104.70;
HL263;Positivo Motion Plus - Azul;Positivo;Notebook;320.00;80.00;
HL264;Notebook Vaio FE14 - Azul;Vaio;Notebook;319.00;86.10;
HL265;HP Spectre X360 - Azul;HP;Notebook;4999.00;999.80;
HL266;Notebook Asus ROG Zephyrus G15 - Azul;Asus;Notebook;1999.00;539.70;
HL267;Moto E7 32GB - Amarelo;Motorola;Celular;100.00;24.00;
HL268;Moto E7 64GB - Amarelo;Motorola;Celular;150.00;45.00;
HL269;Moto G7 32GB - Amarelo;Motorola;Celular;89.00;26.70;
HL270;Moto G7 64GB - Amarelo;Motorola;Celular;119.00;29.80;
HL271;Moto G Pure 32GB - Prata;Motorola;Celular;69.00;17.30;
HL272;Moto G Pure 64GB - Azul;Motorola;Celular;99.00;28.70;
HL273;Moto G Stylus 32GB - Azul;Motorola;Celular;199.00;39.80;
HL274;Notebook Asus ROG Zephyrus Duo 15 - Prata;Asus;Notebook;6999.00;1399.80;
HL275;Asus Chromebook Flip CX5 - Prata;Asus;Notebook;700.00;161.00;
HL276;LG Gram 17 - Prata;LG;Notebook;1393.00;334.30;
HL277;HP Envy X360 13 - Prata;HP;Notebook;820.00;164.00;
HL278;Notebook Dell 2 em 1 XPS - Prata;HP;Notebook;1600.00;368.00;
HL279;Notebook Dell XPS 13 - Prata;Dell;Notebook;1220.00;244.00;
HL280;Lenovo Thinkpad X1 Nano - Prata;Lenovo;Notebook;1487.00;386.60;
HL281;Lenovo Chromebook Duet - Prata;Lenovo;Notebook;249.00;49.80;
HL282;Razer Blade 15 - Prata;Razer;Notebook;3999.00;1079.70;
HL283;Razer Book 15 - Preto;Razer;Notebook;1199.00;299.80;
HL284;Razer Blade 14 - Preto;Razer;Notebook;1999.00;439.80;
HL285;Razer 17 Blade Pro 4k - Preto;Razer;Notebook;7999.00;2159.70;
HL286;Lenovo Yoga 9I - Preto;Lenovo;Notebook;1750.00;455.00;
HL287;Dell XPS 9300 - Preto;Dell;Notebook;1600.00;352.00;
HL288;Carregador Sem Fio - Branco;Apple;Acessorios;39.99;11.90;
HL289;Cabo USB C iPhone - Branco;Apple;Acessorios;19.00;3.80;
HL290;Cabo USB C Android - Preto;Samsung;Acessorios;9.55;2.10;
HL291;Moto G Stylus 64GB - Cinza;Motorola;Celular;279.00;72.50;
HL292;Moto G20 32GB - Cinza;Motorola;Celular;150.00;33.00;
HL293;Moto G20 32GB - Cinza;Motorola;Celular;229.00;55.00;
